Team, W/L, 3Point,Opp3Point
ATL,W,0.462,0.3
ATL,W,0.25,0.278
ATL,W,0.367,0.435
ATL,L,0.344,0.409
ATL,L,0.2,0.25
ATL,W,0.4,0.333
ATL,W,0.379,0.262
ATL,W,0.45,0.333
ATL,W,0.406,0.379
ATL,W,0.353,0.304
ATL,W,0.313,0.25
ATL,L,0.25,0.345
ATL,L,0.286,0.37
ATL,L,0.345,0.44
ATL,W,0.25,0.259
ATL,L,0.32,0.294
ATL,L,0.343,0.4
ATL,L,0.241,0.343
ATL,L,0.36,0.476
ATL,L,0.25,0.586
ATL,L,0.25,0.542
ATL,L,0.318,0.323
ATL,W,0.211,0.407
ATL,W,0.353,0.429
ATL,L,0.393,0.441
ATL,W,0.44,0.476
ATL,L,0.385,0.444
ATL,W,0.391,0.286
ATL,L,0.269,0.31
ATL,W,0.32,0.32
ATL,L,0.25,0.484
ATL,W,0.259,0.259
ATL,W,0.308,0.29
ATL,W,0.5,0.333
ATL,W,0.526,0.321
ATL,W,0.391,0.429
ATL,W,0.5,0.25
ATL,W,0.304,0.345
ATL,L,0.367,0.386
ATL,W,0.5,0.316
ATL,W,0.375,0.308
ATL,L,0.24,0.4
ATL,W,0.409,0.25
ATL,W,0.35,0.414
ATL,L,0.31,0.583
ATL,W,0.567,0.296
ATL,L,0.29,0.419
ATL,W,0.323,0.353
ATL,L,0.269,0.375
ATL,W,0.267,0.255
ATL,W,0.357,0.259
ATL,L,0.353,0.385
ATL,W,0.296,0.295
ATL,L,0.367,0.5
ATL,W,0.286,0.381
ATL,L,0.269,0.378
ATL,L,0.3,0.459
ATL,L,0.32,0.296
ATL,W,0.24,0.294
ATL,W,0.476,0.424
ATL,L,0.385,0.543
ATL,L,0.333,0.455
ATL,L,0.464,0.455
ATL,W,0.2,0.333
ATL,W,0.364,0.16
ATL,W,0.5,0.172
ATL,L,0.273,0.471
ATL,L,0.296,0.357
ATL,L,0.269,0.444
ATL,L,0.324,0.4
ATL,L,0.32,0.324
ATL,L,0.364,0.296
ATL,L,0.185,0.273
ATL,W,0.222,0.226
ATL,W,0.5,0.282
ATL,L,0.393,0.4
ATL,L,0.292,0.303
ATL,W,0.478,0.349
