Team,W/L,TeamPoints,OpponentPoints,Point-Diff
ATL,W,114,99,15
ATL,W,104,72,32
ATL,W,106,95,11
ATL,L,116,123,-7
ATL,L,92,95,-3
ATL,W,112,97,15
ATL,W,110,106,4
ATL,W,115,107,8
ATL,W,117,96,21
ATL,W,93,90,3
ATL,W,107,100,7
ATL,L,96,100,-4
ATL,L,94,104,-10
ATL,L,94,112,-18
ATL,W,96,85,11
ATL,L,68,95,-27
ATL,L,94,109,-15
ATL,L,100,105,-5
ATL,L,107,109,-2
ATL,L,85,121,-36
ATL,L,84,128,-44
ATL,L,99,102,-3
ATL,W,103,95,8
ATL,W,114,110,4
ATL,L,120,131,-11
ATL,W,125,121,4
ATL,L,99,107,-8
ATL,W,110,108,2
ATL,L,84,92,-8
ATL,W,109,108,1
ATL,L,90,104,-14
ATL,W,102,98,4
ATL,W,105,98,7
ATL,W,114,112,2
ATL,W,111,92,19
ATL,W,99,94,5
ATL,W,97,82,15
ATL,W,117,97,20
ATL,L,101,103,-2
ATL,W,111,98,13
ATL,W,108,107,1
ATL,L,95,118,-23
ATL,W,102,93,9
ATL,W,110,93,17
ATL,L,105,115,-10
ATL,W,119,114,5
ATL,L,86,112,-26
ATL,W,142,139,3
ATL,L,93,116,-23
ATL,W,113,108,5
ATL,W,113,86,27
ATL,L,95,120,-25
ATL,W,117,106,11
ATL,L,107,108,-1
ATL,W,109,104,5
ATL,L,84,99,-15
ATL,L,90,108,-18
ATL,L,86,105,-19
ATL,W,114,98,16
ATL,W,100,95,5
ATL,L,130,135,-5
ATL,L,96,97,-1
ATL,L,111,119,-8
ATL,W,110,105,5
ATL,W,105,99,6
ATL,W,107,90,17
ATL,L,99,107,-8
ATL,L,91,103,-12
ATL,L,97,113,-16
ATL,L,90,105,-15
ATL,L,100,104,-4
ATL,L,97,100,-3
ATL,L,92,107,-15
ATL,W,95,91,4
ATL,W,99,92,7
ATL,L,104,106,-2
ATL,L,82,91,-9
ATL,W,123,116,7
ATL,W,114,100,14
ATL,W,126,125,1
ATL,W,103,76,27
ATL,L,86,104,-18
BOS,W,122,117,5
BOS,L,99,105,-6
BOS,W,104,98,6
BOS,W,107,100,7
BOS,L,122,128,-6
BOS,L,107,123,-16
BOS,L,93,118,-25
BOS,W,115,87,28
BOS,W,105,99,6
BOS,L,105,106,-1
BOS,W,90,83,7
BOS,L,88,104,-16
BOS,W,94,92,2
BOS,W,99,93,6
BOS,W,111,92,19
BOS,L,103,109,-6
BOS,W,112,104,8
BOS,L,114,121,-7
BOS,W,97,92,5
BOS,W,107,106,1
BOS,L,106,107,-1
BOS,W,117,87,30
BOS,L,94,101,-7
BOS,L,96,99,-3
BOS,L,101,108,-7
BOS,W,96,88,8
BOS,W,105,95,10
BOS,W,112,109,3
BOS,W,109,102,7
BOS,L,112,117,-5
BOS,W,119,114,5
BOS,W,113,103,10
BOS,L,118,124,-6
BOS,W,117,114,3
BOS,W,115,104,11
BOS,W,110,106,4
BOS,W,117,108,9
BOS,L,106,114,-8
BOS,W,117,108,9
BOS,W,103,101,2
BOS,W,108,98,10
BOS,L,106,117,-11
BOS,L,123,127,-4
BOS,L,108,123,-15
BOS,W,120,109,11
BOS,W,128,98,30
BOS,W,112,108,4
BOS,W,113,109,4
BOS,W,109,104,5
BOS,W,113,107,6
BOS,W,107,102,5
BOS,L,92,108,-16
